kdrama_id,kdrama_name,recommended_title,recommended_id
2caa015e16384955b30e5c1b0b63b87b,Drinking Solo,Something About 1 Percent,4bed4b46f53d4c16bbbb30ff1e14d2c5
c052bcd9784c4a4481fcfbbba789e3f2,Three Kingdom Wars - Imjin War 1592,No Recommendation,
c6718821d3cd4302a813f7cf33e8e149,Fantastic,The Greatest Love,
c6718821d3cd4302a813f7cf33e8e149,Fantastic,The World That They Live In,
c6718821d3cd4302a813f7cf33e8e149,Fantastic,Thirty But Seventeen,8133f5ca6267411f93d8bbdd2ae86c24
c6718821d3cd4302a813f7cf33e8e149,Fantastic,Hometown Cha-Cha-Cha,08a4b2f383a742a79bf0a0f5983108e0
c6718821d3cd4302a813f7cf33e8e149,Fantastic,Uncontrollably Fond,9f1d85d120b8437583890b40e280ab28
f978030e38fb48648cf771c7c587fb0b,Hello Busking,No Recommendation,
5a6d6670f4984bbcbb0fa7b54b0e6696,Moon Lovers: Scarlet Heart Ryeo,Mr. Queen,604d1bed78974af1bd4ff81e3162e0d3
5a6d6670f4984bbcbb0fa7b54b0e6696,Moon Lovers: Scarlet Heart Ryeo,Scarlet Heart,
5a6d6670f4984bbcbb0fa7b54b0e6696,Moon Lovers: Scarlet Heart Ryeo,Alchemy of Souls,c068c66062ad4822bfc94e93377ac2df
5a6d6670f4984bbcbb0fa7b54b0e6696,Moon Lovers: Scarlet Heart Ryeo,The Red Sleeve,c7bbfe6ecb624f4e93acb9eef4004a6a
5a6d6670f4984bbcbb0fa7b54b0e6696,Moon Lovers: Scarlet Heart Ryeo,Splash Splash LOVE,
5a6d6670f4984bbcbb0fa7b54b0e6696,Moon Lovers: Scarlet Heart Ryeo,Faith,
591ece7671704aa3be9f2055fdbcfe92,The Gentlemen of Wolgyesu Tailor Shop,The Law Cafe,aececc285e954110a743d4ba9d1b77f4
591ece7671704aa3be9f2055fdbcfe92,The Gentlemen of Wolgyesu Tailor Shop,What Happens to My Family?,
591ece7671704aa3be9f2055fdbcfe92,The Gentlemen of Wolgyesu Tailor Shop,My Father Is Strange,c01c324200a24816a5235f8b7d35cd29
591ece7671704aa3be9f2055fdbcfe92,The Gentlemen of Wolgyesu Tailor Shop,A Hundred Year's Inheritance,
591ece7671704aa3be9f2055fdbcfe92,The Gentlemen of Wolgyesu Tailor Shop,Hearts of Nineteen,
