kdrama_id,drama_name,year,tot_eps,duration,aired_on,org_net
fed3b366352f49d2bd03012b405d5afd,Miracle,2022,14,2700,"Friday, Saturday",jTBC
4a69b64594944670a9645e2fa0c9bd67,Money Heist: Korea - Joint Economic Area - Part 1,2022,6,4200,Friday,Netflix
b14f976f30dc4d6d881e1fc26ce900f9,Anna,2022,6,3000,Friday,not found
f4cc8bad5f9e4c2bbaaf6e006da52bcc,One's Own Love,2022,4,600,not found,not found
c068c66062ad4822bfc94e93377ac2df,Alchemy of Souls,2022,20,4800,"Saturday, Sunday",Netflix tvN
badd9924bd00403b8287840eeb3905a6,Jinxed at First,2022,16,4200,"Wednesday, Thursday",KBS2 Viki
707ee4f843524c05a3f8e6c98150fc9c,Mr. Kang,2022,6,1020,"Friday, Sunday",not found
79cbbc672e96404cbb8ddde161a80a0e,New Normal Zine,2022,12,1200,Friday,not found
66cdb2b54d7f4d108a6968e308b2d27f,Yumi's Cells Season 2,2022,14,3900,Friday,TVING
2bb05b06a7104be6b37258f2f5efbe79,Insider,2022,16,3840,"Wednesday, Thursday",jTBC
edadf735eb96482d918626c5d121f0b9,"Link: Eat, Love, Kill",2022,16,4200,"Monday, Tuesday",tvN
02969507328442baa65e04c8c64bf2ce,To My Star Season 2: Our Untold Stories,2022,10,1500,Sunday,Viki
a341975626a846228f6f004d484c5393,Cleaning Up,2022,16,4200,"Saturday, Sunday",jTBC
b20263aad84e4572ab498836048fbbdf,Doctor Lawyer,2022,16,3780,"Friday, Saturday",MBC
57b95439d5f24807b21ad5d5b120b533,Why Her?,2022,16,4200,"Friday, Saturday",SBS Viki ViuTV
badf93adf3f84753ba611e894dbf9216,Eve,2022,16,4020,"Wednesday, Thursday",tvN
776cbc33c9dc4f319f796435fdebc483,Hope or Dope 2,2022,8,1800,Tuesday,not found
d3e60abb1d6e40d5b58f85acbbb8fe11,Problematic Detective Agency,2022,6,1800,Friday,not found
aea89f18609e4274b07d2d04446b17c9,Kiss Sixth Sense,2022,12,4200,Wednesday,Disney+ Hulu
9f14f7247af44db7ba4462833d5dfa4a,Gold Mask,2022,100,2100,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2
403f8335e046472bab7ef42097a30e3d,Welcome to Wedding Hell,2022,12,2280,"Monday, Tuesday, Wednesday",Daum Kakao TV Netflix
b2349a77a4da488a9cc05365face92d8,"Why, All of a Sudden?",2022,7,420,Friday,not found
c962f6b8de3f4971a346e9aa4c355b90,Master's Delicacies,2022,6,600,Friday,not found
6be64b323a994613b431862d28ef3a52,Tutorial,2022,4,900,"Tuesday, Friday",not found
bfd65f7065e14ea5899e81515fc1309b,Love in Spring,2022,16,1560,Wednesday,not found
d8aab13ca2424be08931a52e2235573c,Love Class,2022,6,1200,"Monday, Tuesday, Wednesday, Friday, Saturday, Sunday",Viki
adb01791ba0f40f6be562a1c24e9e5c0,Rose Mansion,2022,12,2700,Friday,TVING
9a43f57ebd134f009c499548d9db88da,Woo Ri the Virgin,2022,14,4200,"Monday, Tuesday",SBS
02623ccbcf0f4bf691906e03fdf681ea,The Sound of Magic,2022,6,4200,Friday,Netflix
fec69e4b78cc43f68f132a4f5d97847e,Youn Hee's Love,2022,8,1200,"Tuesday, Thursday",not found
abc18948fdca4edb8e246a28b0619608,Never Give Up,2022,16,4320,"Wednesday, Thursday",ENA Genie TV
a1a4d8482b544159b2510eb3512c028c,Bloody Heart,2022,16,3960,"Monday, Tuesday",KBS2
63023c9e0e264d7a83678030520767d2,Usual Yet Unusual,2022,10,300,Thursday,not found
9b91902ff2be4aa8bff080c0f38f875e,The Supernatural Agent,2022,8,1500,not found,not found
f4c1816bd19b485ea93c579421b19c17,Monstrous,2022,6,2400,Friday,TVING
dd5f64b4028945a6b8a8f0eaab4c2147,The Killer's Shopping List,2022,8,3900,"Wednesday, Thursday",tvN
fdb4adbc52644d4ba3746625f0d7cad5,Ocean Likes Me,2022,8,900,"Tuesday, Wednesday",not found
cc8355c5316f444e98a24cb2f83e6801,The Escape Story of a Plastic Spoon,2022,2,240,not found,not found
f55d966b26c6459fb35d1f1c41a16c66,"From Now On, Showtime!",2022,16,4380,"Saturday, Sunday",MBC ViuTV
e9d858e217fc4a0c91b6d0789a0a8ab8,Sh**ting Stars,2022,16,3600,"Friday, Saturday",tvN
b9fa083f29d54ffc833f6111f61fad0a,Turned on by You,2022,6,480,Thursday,Naver TV Cast vLive
d18ad732e02a47a7ba7d1e3022a2f556,Love All Play,2022,16,4200,"Wednesday, Thursday",KBS2
8353869729b24ded946a98a316864df9,Broke Rookie Star,2022,10,1080,"Friday, Saturday",not found
ea43f02b29b34e0fa95b1950cf335182,My Rocket Ship,2022,8,960,Thursday,Naver TV Cast
526e414b88784280b03d7a984892eb0f,"Bravo, My Life",2022,120,1800,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS1
4028cee20f2d4108aa71a24b8361a3dc,The Secret House,2022,124,1800,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC
a08a3bca2f0240f6aab36d71b9542525,Shinjikki,2022,5,600,not found,not found
96f89c29e21f45c3a3d918357c4f63fd,Our Blues,2022,20,4200,"Saturday, Sunday",Netflix tvN
71d79b59f4744377a669552542d72d2a,My Liberation Notes,2022,16,4020,"Saturday, Sunday",jTBC Netflix
ad9f29548ba14137ab9c8b8a79340cae,Again My Life,2022,16,3900,"Friday, Saturday",SBS ViuTV
fb81a8235c8040bc902f119ac15d8a97,Green Mothers' Club,2022,16,4200,"Wednesday, Thursday",jTBC Netflix
38b58cb1d1da42f68ff2c27f84d23978,Bubble Up,2022,10,900,Monday,not found
817c9e7c3d274c95988e98bf623c3103,It's Beautiful Now,2022,50,4200,"Saturday, Sunday",KBS2
e05f8e64cf9846efac0e776c39ae1d6f,Tell Me Sick,2022,9,720,Friday,not found
1d1a54915b1042ef9cf2c75ad756c29f,Tomorrow,2022,16,3600,"Friday, Saturday",MBC Netflix
7edb2a10033f41a89fc05a1dc564698a,Blueming,2022,11,840,Thursday,iQiyi
daedbb37e2914f3eb251f2046036abe6,Pachinko,2022,8,3240,Friday,not found
233d4519d4de4f568eff0a1002c27460,Hope or Dope,2022,10,2100,Friday,not found
3cd9316e6e8e41c6a4abc120c8b2c7b9,Soundtrack #1,2022,4,2640,Wednesday,Disney+
